Generation, Lowest, Mean, Highest, Stdev
0, -6.752270376141742, 2.404998708562041, 86.73667761151174, 25.02422749727176
1, -6.436150368369428, -1.3189591587329788, 86.12628484395722, 20.06218066892493
2, -6.2766434893416445, 7.905398081659115, 86.73667761151174, 32.94537277927863
3, -6.1779441140506, 7.973693744225457, 87.13935834262665, 33.1151866635122
4, -6.2766434893416445, 7.753571001851043, 86.15606371931284, 32.479254190265195
5, -6.20050917404269, 3.20148742206959, 86.15606371931284, 27.380676389747553
6, -6.2766434893416445, 8.442683389175338, 87.13935834262664, 33.005315946754294
7, -6.20050917404269, 8.083473593701012, 87.13935834262665, 33.15433588020488
8, -6.1779441140506, 8.898623338441093, 87.13935834262662, 32.777878289545264
9, -6.1779441140506, 8.002277228715892, 87.02326625757942, 33.07054048420907
10, -6.20050917404269, -4.033344276051584, 12.046756665712213, 5.361733290577139
11, -6.2766434893416445, -4.048524382464871, 12.046756665712216, 5.367756493863011
12, -6.20050917404269, -1.2051381066388154, 86.98936470590374, 20.233816542648626
13, -6.2766434893416445, -5.427746353903663, 3.0467566657122154, 1.9505707244240598
14, -6.2766434893416445, -5.831421261112219, -5.707110264748875, 0.1429373591625805
15, -6.2766434893416445, -5.859839721952947, -5.707110264748875, 0.15482643361594492
16, -6.20050917404269, -5.856094589373797, -5.707110264748875, 0.13473124316627968
17, -6.20050917404269, -5.8470395446882, -5.707110264748875, 0.10960271306598711
18, -6.2766434893416445, -5.858415191240752, -5.707110264748875, 0.12017328906077923
19, -6.2766434893416445, -5.836999615785118, -5.707110264748875, 0.1628507049497633
20, -5.8971538676367405, -5.792138048926654, -5.707110264748875, 0.07526625214785325
