Generation, Lowest, Mean, Highest, Stdev
0, -6.169610732491456, 11.057863973326274, 86.33574420258549, 27.916119748990692
1, -6.008813185442595, 6.505905674040184, 86.33574420258549, 24.962607850110132
2, -6.2766434893416445, 7.874415815812176, 86.33574420258549, 26.083441355363313
3, -5.805134968916489, 8.366211572843824, 67.09472522156157, 25.422407849514702
4, -6.2766434893416445, 10.658742440721749, 87.13935834262664, 30.57932993686396
5, -6.2766434893416445, 21.048959948104137, 87.13935834262664, 34.32929030009302
6, -6.2766434893416445, 20.33064427182443, 87.13935834262664, 37.140813025218534
7, -6.2766434893416445, 11.961230508252001, 86.95935834262663, 30.91508648926313
8, -6.2766434893416445, 14.01059862392924, 87.13935834262664, 36.47384104666261
9, -5.805134968916489, 19.471864700291388, 86.95935834262664, 37.9476757658494
10, -6.2766434893416445, 20.78312126652792, 86.95935834262663, 37.54393773021006
11, -6.2766434893416445, 10.962046646495535, 86.33574420258549, 28.736238978567997
12, -6.2766434893416445, 25.642716972042955, 86.95935834262663, 35.744301545458306
13, -6.2766434893416445, 30.86027751811178, 87.13935834262664, 40.10086939331807
14, -6.2766434893416445, 27.05491615797202, 87.13935834262664, 41.67875118568368
15, -6.2766434893416445, 15.64650654292575, 87.13935834262664, 35.14705146151351
16, -6.2766434893416445, 12.060415591421146, 86.95935834262664, 35.05848848620106
17, -6.2766434893416445, 9.61736578419495, 86.95935834262663, 30.516443051362756
18, -6.2766434893416445, 7.316222275045878, 86.95935834262663, 27.700166340299745
19, -6.2766434893416445, 7.283065762456893, 86.33574420258549, 27.61164096135761
20, -6.2766434893416445, 12.321004866478145, 86.33574420258549, 30.115126411807466
