Generation, Lowest, Mean, Highest, Stdev
0, -9.062383992607803, -4.591417034089987, 14.203473108256233, 4.290081548979635
1, -9.062383992607803, -2.635643900910302, 20.060477774587106, 6.441332944041353
2, -9.062383992607803, -1.27791429831931, 20.060477774587106, 6.490857492996888
3, -9.062383992607803, 0.4891826734856416, 20.060477774587106, 6.06006465915753
4, -6.3914796541203724, 2.8225859272317466, 20.060477774587106, 6.096907912464595
5, -5.735055516276741, 3.3750216859973277, 20.060477774587106, 6.164539910177525
6, -5.735055516276741, 4.818840745086751, 20.060477774587106, 5.721239573564384
7, -3.9875986344011687, 6.53017985650899, 20.060477774587106, 5.238295785184117
8, -4.166326693766402, 7.069346843139872, 20.060477774587106, 5.729799559716358
9, -4.166326693766402, 7.74735106740971, 20.060477774587106, 5.395759743728101
10, -1.9679349804525827, 9.449157356756116, 20.060477774587106, 3.861117726505459
11, -1.9679349804525827, 10.142785388866074, 20.060477774587106, 2.9247348425719344
12, -1.9679349804525827, 10.34397634860956, 20.060477774587106, 2.7032187564974204
13, -1.9778599919053326, 9.91337907531421, 20.060477774587106, 3.60924294067192
14, -5.386648753890592, 10.088202794808835, 20.060477774587106, 3.4674433825680895
15, 10.165077214256844, 10.642198388587964, 20.060477774587106, 2.003818017313304
16, -3.006133881294409, 10.378799749250174, 20.060477774587106, 2.76891133667615
17, 10.165716778587704, 10.642262345021052, 20.060477774587106, 2.0038027980283712
18, -3.0042535489600315, 10.378862938470098, 20.060477774587106, 2.7687275802019156
19, -1.9811676430141256, 10.399401127345719, 20.060477774587106, 2.67182503222422
20, -1.9811676430141256, 10.400351778773347, 20.060477774587106, 2.6717423429343823
21, -4.166206923929456, 10.081313760469428, 20.060477774587106, 3.528719378661877
22, 10.165716778587704, 10.665891949934837, 20.060477774587106, 1.9982857090774402
23, 10.166035406740633, 10.672619953483382, 20.060477774587106, 1.9966661922992135
24, 10.166035406740633, 10.674903927752643, 20.060477774587106, 1.9960947962659743
25, 0.11925645322735612, 10.475083821158456, 20.060477774587106, 2.4832653296747362
26, -3.28634233775977, 9.924858051938365, 20.060477774587106, 3.6664259948750115
27, 0.11925645322735612, 10.454957260574014, 20.060477774587106, 2.485705255829151
28, 0.11925645322735612, 10.06231766068086, 20.060477774587106, 3.1687470929411274
29, 0.43285592732842026, 10.064478937081589, 20.060477774587106, 3.137916696664125
30, 0.5255781198825176, 10.279141343178242, 20.060477774587106, 2.8194938189735206
