Generation, Lowest, Mean, Highest, Stdev
0, -5.796057750765372, -5.751320219275389, -5.4510384535657, 0.10158759696869497
1, -5.796057750765372, -5.737582585863882, -5.4510384535657, 0.09820245148808746
2, -5.796057750765372, -5.722183463565154, -5.4510384535657, 0.09293699305916146
3, -5.796057750765372, -5.718075460990807, -5.4510384535657, 0.0912876410512288
4, -5.796057750765372, -5.714289519886465, -5.4510384535657, 0.08950600301614045
5, -5.739792912179234, -5.708985097497855, -5.4510384535657, 0.08599427717531566
6, -5.739792912179234, -5.708985097497855, -5.4510384535657, 0.08599427717531566
7, -5.739792912179234, -5.709307158967859, -5.4510384535657, 0.08610295446485995
8, -5.739792912179234, -5.709307158967859, -5.4510384535657, 0.08610295446485995
9, -5.739792912179234, -5.709307158967859, -5.4510384535657, 0.08610295446485995
10, -5.739792912179234, -5.709307158967859, -5.4510384535657, 0.08610295446485995
