Generation, Lowest, Mean, Highest, Stdev
0, -6.003887067106539, 8.645527987163348, 92.72700044143625, 29.48241329708323
1, -5.796057750765372, 14.086121531787466, 92.72700044143625, 27.944198307619715
2, -5.7745515455444085, 14.088272152309562, 92.72700044143625, 27.942668853144934
3, -5.7745515455444085, 14.088272152309562, 92.72700044143625, 27.942668853144934
4, -5.7745515455444085, 14.088272152309562, 92.72700044143625, 27.942668853144934
5, -5.7745515455444085, 14.088272152309562, 92.72700044143625, 27.942668853144934
6, -5.7745515455444085, 12.27917497448899, 92.72700044143625, 28.577248654137517
7, -5.7745515455444085, 12.27917497448899, 92.72700044143625, 28.577248654137517
8, -5.7745515455444085, 12.27917497448899, 92.72700044143625, 28.577248654137517
9, -5.7745515455444085, 12.27917497448899, 92.72700044143625, 28.577248654137517
10, -5.7745515455444085, 10.470077796668416, 92.72700044143625, 29.085733159862006
