Generation, Lowest, Mean, Highest, Stdev
0, -6.400257445308821, 0.7919457264945209, 86.97196501081939, 22.119861959739165
1, -6.297109319933935, 2.8104119801447216, 86.97196501081939, 25.20621165756061
2, -6.26530121273771, 1.8797421100384666, 86.12628484395722, 22.078128573696517
3, -6.297109319933935, -2.3532892804815235, 86.12628484395722, 13.823066956985874
4, -6.297109319933935, -3.4897804784736, 20.88631782016777, 5.969179729024049
5, -6.551080335043405, -0.6518263732709434, 20.88631782016777, 6.212251916166659
6, -6.198478716492307, -2.8594016525012296, 20.88631782016777, 6.13841551454851
7, -6.551080335043404, -4.397896010192125, 20.88631782016777, 4.731083179107919
8, -6.5510803350434035, -4.839374893278138, 3.606372453647639, 2.804595052860544
9, -6.5510803350434035, -5.025477753518058, 3.606372453647639, 2.6081356209835254
10, -6.579251212010101, -5.346155510872299, 3.606372453647639, 2.4415333150092584
11, -6.551080335043404, -5.490875797127551, 3.606372453647639, 2.159365450377624
12, -6.5510803350434035, -5.735478330795875, 3.606372453647639, 1.3512808116763508
13, -6.5510803350434035, -5.641646574890452, 3.606372453647639, 1.3302377880921656
14, -5.886104031450156, -5.619355708853809, 3.606372453647639, 1.3187471983724603
15, -5.886104031450156, -5.616993877497146, 3.606372453647639, 1.3190149238640518
16, -5.886104031450156, -5.607674491527232, 3.606372453647639, 1.317191883622825
17, -5.886104031450156, -5.59601239725792, 3.606372453647639, 1.3157952675569482
18, -5.886104031450156, -5.621014868051239, 3.606372453647639, 1.3198695981924868
19, -5.886104031450156, -5.770251260192383, -5.713732805509368, 0.060852298216031095
20, -6.104793232414985, -5.883803138586375, -5.713732805509368, 0.14779912359062056
