Generation, Lowest, Mean, Highest, Stdev
0, -6.645090969505645, -5.894416606766643, -5.545177444479562, 0.28425937141991314
1, -6.274762021241939, -5.796640460406528, -5.545177444479562, 0.19075973121945622
2, -5.796057750765372, -5.713454117818249, -5.545177444479562, 0.11022113992730637
3, -6.274762021241939, -5.810418228757125, -5.545177444479562, 0.254130731467553
4, -6.274762021241939, -5.834104833333575, -5.545177444479562, 0.20139812560431405
5, -6.274762021241939, -5.843295444682459, -5.545177444479562, 0.17704503973595306
6, -6.274762021241939, -5.81272386296663, -5.545177444479562, 0.17031420737806252
7, -5.796057750765373, -5.787494952860428, -5.783825182329737, 0.005605667080002709
8, -5.796057750765373, -5.788718209703991, -5.783825182329737, 0.005992710182196471
9, -5.796057750765371, -5.787494952860427, -5.783825182329737, 0.005605667080001896
10, -5.796057750765371, -5.791164723391117, -5.783825182329737, 0.005992710182195601
