Generation, Lowest, Mean, Highest, Stdev
0, -6.269096283706261, -4.003322578417526, 12.225448454455591, 4.680061009539394
1, -6.003887067106539, -3.970520683151283, 12.225448454455591, 4.666047423609878
2, -5.886104031450156, -3.958905960490662, 12.225448454455591, 4.661256564107618
3, -5.886104031450156, -3.9525687611910776, 12.225448454455591, 4.658712786917713
4, -5.886104031450156, -3.946843190313275, 12.225448454455591, 4.656401136287981
5, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
6, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
7, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
8, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
9, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
10, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
11, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
12, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
13, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
14, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
15, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
16, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
17, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
18, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
19, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
20, -5.783825182329737, -3.9405059910136906, 12.225448454455591, 4.653838279121956
