Generation, Lowest, Mean, Highest, Stdev
0, -7.386687420681458, -4.159716053907217, 29.168545400636955, 6.126846025053484
1, -7.386687420681458, -2.9574720430518067, 29.168545400636955, 6.527305991476523
2, -7.386687420681458, -0.6212797531488252, 29.168545400636955, 7.046030819659423
3, -7.386687420681458, 1.536763467268149, 29.168545400636955, 7.730921533943051
4, -7.16885687322086, 4.322637696641907, 29.168545400636955, 8.149886383755364
5, -5.735055516276741, 6.968088783196257, 29.168545400636955, 6.731740756196513
6, -5.735055516276741, 10.139328932603041, 29.168545400636955, 5.664189988580287
7, -3.0784625400763588, 11.998977113462058, 29.168545400636955, 4.621737218134263
8, -1.477219725912221, 13.421497736405911, 29.168545400636955, 3.6705520323440988
9, 5.524297489189116, 14.32046233603443, 29.168545400636955, 2.6372267274123105
10, -3.1257324008250293, 14.422885874089637, 29.168545400636955, 3.294870610244346
11, -7.251411107011958, 14.090469466226375, 29.168545400636955, 4.460056478756868
12, -3.1941161591660787, 14.17161536518329, 29.168545400636955, 4.092815633957472
13, -3.1941161591660787, 14.054708602021924, 29.168545400636955, 4.815321221488982
14, 10.123403472007407, 14.405557756811545, 29.168545400636955, 3.477937602499175
15, 11.538355642304406, 14.248289070502988, 29.168545400636955, 3.515564523036951
16, 11.538355642304406, 14.062721340788489, 29.168545400636955, 3.571636583234343
17, 1.5263141596447944, 13.338237504669562, 29.168545400636955, 4.639103198287954
18, 1.5263141596447944, 13.414783023629653, 29.168545400636955, 4.341939500570025
19, 1.5263141596447944, 13.30270875420309, 29.168545400636955, 4.318768009485225
20, 1.5263141596447944, 13.30535529443134, 29.168545400636955, 4.03605922235973
21, 1.5263141596447944, 13.305084948802072, 29.168545400636955, 4.036177682927066
22, 2.137191557321451, 13.317099737533654, 29.168545400636955, 4.001368652038601
23, 2.137191557321451, 13.114999707382317, 29.168545400636955, 4.181759717885414
24, 4.282750713180647, 13.298840679318523, 29.168545400636955, 3.8948045197362187
25, 2.1940782591200687, 13.112004659004524, 29.168545400636955, 4.187928958397397
26, 0.7643428231667571, 12.582165375243553, 29.168545400636955, 5.041105327076935
27, 0.7643428231667571, 12.398740670803468, 29.168545400636955, 5.236418051354227
28, 0.7643428231667571, 12.551463680566826, 29.168545400636955, 4.963776305115064
29, 0.7643428231667571, 12.966434337843799, 29.168545400636955, 4.394843148142438
30, 11.538355642304406, 14.189865483841507, 29.168545400636955, 3.520825977662924
