Generation, Lowest, Mean, Highest, Stdev
0, -9.260889058380236, -3.83928262762147, 25.547791163824222, 6.4738510003441485
1, -7.2790371852042774, -0.5787340435504115, 29.371647997429697, 10.270442022995907
2, -6.270186363691152, 1.8202604127117599, 29.371647997429697, 11.09813661931871
3, -6.270186363691152, 4.6158499680678515, 29.371647997429697, 11.437039163329127
4, -6.262551924294234, 8.943372016179353, 29.371647997429697, 11.093085147433072
5, -6.023274471268653, 14.071855923808462, 32.20128759485213, 10.744209382281998
6, -4.957616210465211, 17.068875238695632, 32.20128759485213, 8.244253089612299
7, -4.957616210465211, 17.730933523546486, 32.20128759485213, 6.757045295726434
8, -4.957616210465211, 17.089814617406688, 32.20128759485213, 6.977224347437743
9, -4.957616210465211, 20.161160559884586, 32.20128759485213, 6.951470039212445
10, -4.957616210465211, 21.644784324155054, 32.20128759485213, 7.243669121501739
11, -5.725170264626834, 17.777923484291193, 32.20128759485213, 11.634452393435332
12, -5.735055516276741, 15.923330055299825, 32.20128759485213, 13.285532233926377
13, -5.735055516276741, 14.147661278700081, 32.20128759485213, 14.1718301256069
14, -5.735055516276741, 12.641024641148402, 32.20128759485213, 14.948412543380234
15, -5.735055516276741, 10.862281596120818, 32.20128759485213, 15.225864743742651
16, -5.735055516276741, 10.385066781334517, 32.20128759485213, 15.393149837500928
17, -5.735055516276741, 9.576162653417041, 32.20128759485213, 15.361232890615106
18, -5.735055516276741, 9.239776899540857, 32.20128759485213, 14.647208419664555
19, -5.735055516276741, 10.151470463096333, 32.20128759485213, 13.923217170589925
20, -5.735055516276741, 8.824905671107388, 32.20128759485213, 14.475571388518128
21, -5.735055516276741, 7.624257010123691, 32.20128759485213, 14.811292562785175
22, -5.735055516276741, 6.727369472700969, 32.20128759485213, 15.050410275170163
23, -5.735055516276741, 6.556462553455435, 32.20128759485213, 15.155421392982113
24, -9.651747769104901, 6.073988549229768, 32.20128759485213, 15.593404931538448
25, -9.651747769104901, 5.901972325768862, 32.20128759485213, 15.720124614206492
26, -9.651747769104901, 5.758780025497853, 32.20128759485213, 15.792339431720322
27, -9.651747769104901, 5.610959863640584, 32.20128759485213, 15.866335406798912
28, -9.651747769104901, 5.228374555396276, 32.20128759485213, 16.129553417395044
29, -9.649938643943106, 5.965424302414077, 32.20128759485213, 15.415017435794448
30, -9.6444797063502, 6.640804017242341, 32.20128759485213, 14.934222370369207
