Generation, Lowest, Mean, Highest, Stdev
0, -5.886104031450156, 1.4453395730051284, 21.686794020958217, 10.590306694288952
1, -5.886104031450156, 8.69149842613104, 21.686794020958217, 12.90589596419772
2, -5.860786223465865, 16.768954121300993, 30.686794020958214, 11.64176432189244
3, -5.860786223465865, 16.762481274030943, 30.686794020958214, 11.65431994400545
4, -5.860786223465865, 10.415924564754619, 21.686794020958217, 13.291866978275396
5, -5.860786223465865, 15.799521934422453, 21.686794020958217, 10.832898760273254
6, -5.860786223465865, 15.799521934422453, 21.686794020958217, 10.832898760273254
7, -5.860786223465865, 18.491320619256367, 21.686794020958217, 8.121166108533307
8, -5.860786223465865, 13.044763909980043, 21.686794020958217, 12.377960311152965
9, -5.860786223465865, 10.352965225146127, 21.686794020958217, 13.239720151068571
10, -5.908082938168931, 15.731832923343655, 21.686794020958217, 10.809743335908017
