Generation, Lowest, Mean, Highest, Stdev
0, -6.302618975744905, 21.565053238742415, 86.12628484395722, 42.06107550169611
1, -5.937536205082427, 21.671360111632445, 86.12628484395722, 42.00568752507497
2, -5.937536205082427, 49.283517938004195, 86.26354791138098, 45.00157877467221
3, -5.796057750765372, 67.76372406356782, 86.26354791138101, 36.75383249388111
4, -5.7745515455444085, 77.01855904546133, 86.26354791138101, 27.597771800966367
5, -5.7745515455444085, 67.80274909976879, 86.26354791138101, 36.78869867106826
6, 86.12628484395722, 86.17782160463864, 86.26354791138101, 0.056348161462203054
7, -5.937536205082427, 67.7461521678612, 86.26354791138101, 36.84187847644322
8, -5.937536205082427, 67.7461521678612, 86.26354791138101, 36.84187847644322
9, -5.937536205082427, 49.32820903782612, 86.26354791138101, 45.124319869179224
10, -5.693732138802701, 67.78973406089, 86.26354791138101, 36.74177155980365
