Generation, Lowest, Mean, Highest, Stdev
0, -5.891644211825772, 0.6405562572863488, 86.12628484395722, 19.952586630472897
1, -5.869296913133774, 5.279920231812214, 86.12628484395722, 27.20310248251521
2, -5.796057750765373, 6.697269455748082, 86.12628484395722, 26.83203489459313
3, -5.869296913133774, 6.231745335311572, 86.12628484395722, 26.964954102410328
4, -5.796057750765372, 7.6458202373262525, 86.12628484395722, 26.54011924811109
5, -6.2766434893416445, 8.087727149039683, 86.12628484395722, 26.394405465277234
6, -5.796057750765373, 8.107218717805074, 86.12628484395722, 26.382298876235517
7, -5.796057750765372, 8.586666786003653, 86.12628484395722, 26.21160771276123
8, -5.796057750765372, 9.053066666485165, 86.12628484395722, 26.03392450245523
9, -5.796057750765373, 8.595130593908717, 86.12628484395722, 26.210234702790398
10, -5.796057750765372, 8.124169664439494, 86.12628484395722, 26.379639820788256
11, -5.796057750765372, 7.650482571247901, 86.12628484395722, 26.539595467644695
12, -6.738152494595958, 7.038842389450158, 86.12628484395722, 26.760450111602083
13, -6.738152494595958, 7.034304671286736, 86.12628484395722, 26.76102329103389
14, -6.738152494595958, 7.077459987912334, 86.12628484395722, 26.738076577073475
15, -6.738152494595958, 8.058867392945691, 86.12628484395722, 26.408786160847562
16, -5.796057750765372, 8.572983639040514, 86.12628484395722, 26.214877342684403
17, -5.796057750765372, 8.572372010618732, 86.12628484395722, 26.215212439809214
18, -5.796057750765372, 9.038771891100245, 86.12628484395722, 26.037809883691157
19, -6.306275286948015, 9.43258856172029, 86.12628484395722, 25.895784659316412
20, -6.306275286948015, 9.477044965462671, 86.12628484395722, 25.870559259440007
